ATT&CK ID,ATT&CK Enterprise Mitigation,Related D3FEND Techniques,Comment
M1013,[Application Developer Guidance](https://attack.mitre.org/mitigations/M1013/),,A future release of D3FEND will define a taxonomy of Source Code Hardening Techniques.
M1015,[Active Directory Configuration](https://attack.mitre.org/mitigations/M1015/),"D3-ANCI [Authentication Cache Invalidation](https://d3fend.mitre.org/technique/d3f:AuthenticationCacheInvalidation ""Removing tokens or credentials from an authentication cache to prevent further user associated account accesses."")<br><br>D3-DTP [Domain Trust Policy](https://d3fend.mitre.org/technique/d3f:DomainTrustPolicy ""Restricting inter-domain trust by modifying domain configuration."")<br><br>D3-UAP [User Account Permissions](https://d3fend.mitre.org/technique/d3f:UserAccountPermissions ""Restricting a user account's access to resources."")","M1015 scope is broad, touches on an wide variety of techniques in D3FEND."
M1016,[Vulnerability Scanning](https://attack.mitre.org/mitigations/M1016/),,Future D3FEND releases will model the scanning and inventory domains.
M1017,[User Training](https://attack.mitre.org/mitigations/M1017/),,Modeling user training is outside the scope of D3FEND.
M1018,[User Account Management](https://attack.mitre.org/mitigations/M1018/),"D3-LFP [Local File Permissions](https://d3fend.mitre.org/technique/d3f:LocalFilePermissions ""Restricting access to a local file by configuring operating system functionality."")<br><br>D3-SCF [System Call Filtering](https://d3fend.mitre.org/technique/d3f:SystemCallFiltering ""Controlling access to local computer system resources with kernel-level capabilities."")<br><br>D3-SCP [System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions ""Restricting system configuration modifications to a specific user or group of users."")",
M1019,[Threat Intelligence Program](https://attack.mitre.org/mitigations/M1019/),,Establishing and running a Threat Intelligence Program is outside the scope of D3FEND.
M1020,[SSL/TLS Inspection](https://attack.mitre.org/mitigations/M1020/),"D3-NTA [Network Traffic Analysis](https://d3fend.mitre.org/technique/d3f:NetworkTrafficAnalysis ""Analyzing intercepted or summarized computer network traffic to detect unauthorized activity."")",D3FEND models this as an infrastructure dependency to support D3-NTA.
M1021,[Restrict Web-Based Content](https://attack.mitre.org/mitigations/M1021/),"D3-DNSAL [DNS Allowlisting](https://d3fend.mitre.org/technique/d3f:DNSAllowlisting ""Permitting only approved domains and their subdomains to be resolved."")<br><br>D3-DNSDL [DNS Denylisting](https://d3fend.mitre.org/technique/d3f:DNSDenylisting ""Blocking DNS Network Traffic based on criteria such as IP address, domain name, or DNS query type."")<br><br>D3-FA [File Analysis](https://d3fend.mitre.org/technique/d3f:FileAnalysis ""File Analysis is an analytic process to determine a file's status. For example: virus, trojan, benign, malicious, trusted, unauthorized, sensitive, etc."")<br><br>D3-ITF [Inbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:InboundTrafficFiltering ""Restricting network traffic originating from untrusted networks destined towards a private host or enclave."")<br><br>D3-NTA [Network Traffic Analysis](https://d3fend.mitre.org/technique/d3f:NetworkTrafficAnalysis ""Analyzing intercepted or summarized computer network traffic to detect unauthorized activity."")<br><br>D3-OTF [Outbound Traffic Filtering](https://d3fend.mitre.org/technique/d3f:OutboundTrafficFiltering ""Restricting network traffic originating from a private host or enclave destined towards untrusted networks."")<br><br>D3-UA [URL Analysis](https://d3fend.mitre.org/technique/d3f:URLAnalysis ""Determining if a URL is benign or malicious by analyzing the URL or its components."")","M1021 scope is broad, touches on an wide variety of techniques in d3fend."
M1022,[Restrict File and Directory Permissions](https://attack.mitre.org/mitigations/M1022/),"D3-LFP [Local File Permissions](https://d3fend.mitre.org/technique/d3f:LocalFilePermissions ""Restricting access to a local file by configuring operating system functionality."")",
M1024,[Restrict Registry Permission](https://attack.mitre.org/mitigations/M1024/),"D3-SCP [System Configuration Permissions](https://d3fend.mitre.org/technique/d3f:SystemConfigurationPermissions ""Restricting system configuration modifications to a specific user or group of users."")",
